id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity_score,release_decade,detailed_mood_tag,instrumentalness,speechiness,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,86,2020s,uplifting,0.08,0.05,english,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020s,study,0.82,0.04,english,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,78,2010s,adrenaline,0.06,0.07,english,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2010s,rainy,0.88,0.03,english,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2020s,motivational,0.05,0.09,english,1
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,55,2010s,spacey,0.93,0.02,instrumental,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,60,2000s,warm,0.76,0.05,english,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,73,2010s,nightdrive,0.22,0.06,english,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,57,2020s,focus,0.80,0.03,instrumental,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,79,2020s,sunset,0.18,0.06,english,0
11,City Cipher,Nova Script,hip hop,confident,0.74,96,0.68,0.84,0.12,74,2020s,confident,0.03,0.18,english,1
12,Autumn Strings,Velvet Orchard,folk,nostalgic,0.33,88,0.58,0.49,0.87,59,2000s,nostalgic,0.67,0.04,english,0
13,Pulse Horizon,Astra Flux,edm,euphoric,0.95,128,0.80,0.90,0.06,88,2020s,euphoric,0.02,0.08,english,0
14,Blue Neon,Briar Vale,r&b,romantic,0.52,92,0.64,0.76,0.41,72,2010s,sensual,0.12,0.20,english,1
15,Dusty Highway,River Kline,country,hopeful,0.47,104,0.72,0.65,0.73,65,2000s,roadtrip,0.35,0.10,english,0
16,Obsidian Crown,Iron Veil,metal,aggressive,0.97,170,0.39,0.58,0.03,70,2010s,aggressive,0.01,0.06,english,0
17,Solar Steps,Marimba Lane,afrobeats,playful,0.86,112,0.83,0.89,0.20,84,2020s,joyful,0.09,0.13,english,0
18,Dawn Raga,Saffron Tide,world,meditative,0.31,76,0.57,0.44,0.91,54,1990s,meditative,0.95,0.02,hindi,0
